Time,Va,Ia,Za,Ra,Xa,Vb,Ib,Zb,Rb,Xb,Vc,Ic,Zc,Rc,Xc
0.069,16186.8260620881,-246.146637008455,40.7695654417277,20.1021035082877,-35.4691824102192,4856.94848979525,-44.1635225122475,845.98171251655,NaN,NaN,-21043.7745355954,290.310159520702,40.6014006109029,-36.8360966035141,-17.0755883817692
0.07,8995.75351471032,-418.226528267882,40.7694939292797,20.1019930025649,-35.469162840056,16385.8118356113,-45.1824775183255,845.979351773461,NaN,NaN,-25381.5653356421,463.409005786208,40.6013284567666,-36.8360647964781,-17.0754854327457
0.071,924.160856270293,-549.370360909119,40.7694072510692,20.1019013673559,-35.4691151429046,26310.6657296245,-41.7759925997361,845.977091756265,NaN,NaN,-27234.8265742464,591.146353508855,40.6012429596992,-36.8360081162321,-17.0754044149298
0.072,-7237.84849738177,-626.740906432451,40.7693157703651,20.1018352845804,-35.4690474438677,33659.9874121095,-34.2775469494344,845.975230798938,NaN,NaN,-26422.1389072455,661.018453381885,40.601153757611,-36.8359353081221,-17.0753493792958
0.073,-14691.3264485672,-642.764647064684,40.7692299883901,20.1017984239877,-35.4689697336646,37714.3826623199,-23.4211027176175,845.973975093816,NaN,NaN,-23023.0562111621,666.185749782302,40.601069213728,-36.8358548948596,-17.0753218260382
0.074,-20706.6739324492,-595.873081329261,40.7691572119835,20.1017882984595,-35.4688918205706,38076.987624596,-10.269352976371,845.973441109486,NaN,NaN,-17370.3136946897,606.142434305632,40.600997527606,-36.8357764926301,-17.0753205071433
0.075,-24695.0621881199,-490.656289384985,40.7691015861855,20.1018007772428,-35.4688208100686,34712.3000683645,3.89026600264601,845.97372495229,NaN,NaN,-10017.2378876704,486.766023382339,40.6009438438404,-36.8357076805427,-17.0753413050599
0.076,-26266.0809387026,-337.413653940739,40.7690669751162,20.1018321419657,-35.4687632510319,27949.6713603178,17.6716866416339,845.974836595592,NaN,NaN,-1683.59043318524,319.741967299105,40.6009102503794,-36.835652957102,-17.075379479921
0.077,-25265.951304674,-151.145660742727,40.7690538942854,20.1018759382303,-35.4687233939868,18451.0826343366,29.7259207927161,845.976679244394,NaN,NaN,6814.86865576037,121.419739950011,40.600897261882,-36.8356156673082,-17.0754290394197
0.078,-21792.5722908921,49.9144718983961,40.7690584921732,20.1019249332363,-35.4687009110395,7146.32939539968,38.8730238520887,845.9791121241,NaN,NaN,14646.2428793408,-88.7874957504849,40.6009028910287,-36.835597003894,-17.0754826852263
0.079,-16185.9403799736,246.085569844394,40.7690771941632,20.1019737032116,-35.4686947673441,-4858.00762571639,44.2175662698738,845.981914694828,NaN,NaN,21043.9479895548,-290.303136114267,40.6009237320047,-36.8355957821718,-17.075534874917
0.08,-8994.87215774004,418.165023326017,40.7691065386997,20.1020169545881,-35.4687039842352,-16386.8669117673,45.2363644563893,845.984773809582,NaN,NaN,25381.7390549698,-463.401387782406,40.6009561964053,-36.8356099502178,-17.0755815027729
0.081,-923.280742558899,549.308481678823,40.7691411134667,20.1020508448733,-35.4687245183681,-26311.7161044786,41.8297205027573,845.987404645633,NaN,NaN,27234.9968355305,-591.138202181581,40.6009950895425,-36.8356357077804,-17.0756184152945
0.082,7238.72991141126,626.678700041385,40.7691761788469,20.1020745750428,-35.468751374714,-33661.0353536514,34.3311053158099,845.989583180145,NaN,NaN,26422.3054348944,-661.009805357195,40.6010350334674,-36.8356681858004,-17.0756433288606
0.083,14692.2057243135,642.702136906222,40.7692083009159,20.102087500054,-35.4687809717735,-37715.428757233,23.4744919312415,845.991077326841,NaN,NaN,23023.2230304586,-666.176628837464,40.6010727432862,-36.8357038965555,-17.0756559566801
0.084,20707.5493994223,595.810303633962,40.7692340349741,20.1020892980984,-35.4688095324578,-38078.0297379375,10.3225812681473,845.991698192242,NaN,NaN,17370.4803411889,-606.132884902109,40.601105223723,-36.8357393780948,-17.0756566449698
