Time,Va,Ia,Za,Ra,Xa,Vb,Ib,Zb,Rb,Xb,Vc,Ic,Zc,Rc,Xc
0.077,-25265.9513,-151.1456607,40.76905389,20.10187594,-35.46872339,18451.08263,29.72592079,845.9766792,NaN,NaN,6814.868656,121.41974,40.60089726,-36.83561567,-17.07542904
0.078,-21792.57229,49.9144719,40.76905849,20.10192493,-35.46870091,7146.329395,38.87302385,845.9791121,NaN,NaN,14646.24288,-88.78749575,40.60090289,-36.835597,-17.07548269
0.079,-16185.94038,246.0855698,40.76907719,20.1019737,-35.46869477,-4858.007626,44.21756627,845.9819147,NaN,NaN,21043.94799,-290.3031361,40.60092373,-36.83559578,-17.07553487
0.08,-8994.872158,418.1650233,40.76910654,20.10201695,-35.46870398,-16386.86691,45.23636446,845.9847738,NaN,NaN,25381.73905,-463.4013878,40.6009562,-36.83560995,-17.0755815
0.081,-923.2807426,549.3084817,40.76914111,20.10205084,-35.46872452,-26311.7161,41.8297205,845.9874046,NaN,NaN,27234.99684,-591.1382022,40.60099509,-36.83563571,-17.07561842
0.082,7238.729911,626.6787,40.76917618,20.10207458,-35.46875137,-33661.03535,34.33110532,845.9895832,NaN,NaN,26422.30543,-661.0098054,40.60103503,-36.83566819,-17.07564333
0.083,14692.20572,642.7021369,40.7692083,20.1020875,-35.46878097,-37715.42876,23.47449193,845.9910773,NaN,NaN,23023.22303,-666.1766288,40.60107274,-36.8357039,-17.07565596
0.084,20707.5494,595.8103036,40.76923403,20.1020893,-35.46880953,-38078.02974,10.32258127,845.9916982,NaN,NaN,17370.48034,-606.1328849,40.60110522,-36.83573938,-17.07565664
0.085,24695.93706,490.5932922,40.76925192,20.10208251,-35.46883394,-34713.33769,-3.837200621,845.9913808,NaN,NaN,10017.40064,-486.7560916,40.6011295,-36.83577043,-17.07564737
0.086,26266.95579,337.3504656,40.76926245,20.1020703,-35.46885296,-27950.70654,-17.61879326,845.9901493,NaN,NaN,1683.75076,-319.7316724,40.60114461,-36.83579472,-17.07563091
0.087,25266.82309,151.0822986,40.76926555,20.10205468,-35.46886538,-18452.11583,-29.67319858,845.9881057,NaN,NaN,-6814.707243,-121.4091001,40.60115065,-36.83581146,-17.07560915
0.088,21793.44111,-49.97797565,40.76926192,20.10203821,-35.46887054,-7147.358687,-38.82046528,845.9854606,NaN,NaN,-14646.08241,88.79844093,40.60114811,-36.83581991,-17.0755849
0.089,16186.80873,-246.1491818,40.76925414,20.10202326,-35.46887007,4856.982629,-44.16517314,845.9824734,NaN,NaN,-21043.79135,290.314355,40.60113907,-36.83582064,-17.07556181
0.09,8995.739186,-418.2287276,40.76924438,20.10201103,-35.46886578,16385.84438,-45.18414464,845.9794051,NaN,NaN,-25381.58355,463.4128722,40.60112547,-36.83581499,-17.07554167
0.091,924.1444369,-549.3722626,40.76923405,20.10200266,-35.46885865,26310.69567,-41.77767284,845.9765599,NaN,NaN,-27234.84009,591.1499355,40.60110843,-36.8358038,-17.0755253
0.092,-7237.868322,-626.7425305,40.76922491,20.10199861,-35.46885045,33660.01874,-34.27922295,845.9742517,NaN,NaN,-26422.15041,661.0217535,40.60109048,-36.8357892,-17.07551412
0.093,-14691.34494,-642.7659963,40.769218,20.10199782,-35.46884295,37714.41626,-23.4227765,845.9727042,NaN,NaN,-23023.07132,666.1887728,40.60107428,-36.83577398,-17.07550842
0.094,-20706.69099,-595.8741827,40.76921364,20.10199938,-35.46883705,38077.01972,-10.27103959,845.9720526,NaN,NaN,-17370.32873,606.1452223,40.60106053,-36.83575916,-17.07550769
0.095,-24695.08173,-490.6571754,40.7692122,20.10200272,-35.4688335,34712.32987,3.888569939,845.9723732,NaN,NaN,-10017.24814,486.7686055,40.60104981,-36.83574551,-17.07551167
0.096,-26266.10195,-337.4143319,40.76921319,20.10200647,-35.46883251,27949.70245,17.66999645,845.9736415,NaN,NaN,-1683.600511,319.7443354,40.60104313,-36.83573477,-17.07551893
0.097,-25265.97069,-151.1461374,40.76921534,20.10200936,-35.46883335,18451.1157,29.72423413,845.9757295,NaN,NaN,6814.854973,121.4219032,40.60104028,-36.83572762,-17.0755276
0.098,-21792.59174,49.91417103,40.76921797,20.10201085,-35.46883553,7146.361045,38.8713273,845.9784473,NaN,NaN,14646.23068,-88.78549833,40.60104093,-36.83572382,-17.07553733
0.099,-16185.96192,246.0854269,40.76922035,20.10201047,-35.46883847,-4857.977991,44.21586319,845.9815309,NaN,NaN,21043.9399,-290.3012901,40.60104484,-36.83572347,-17.07554739
0.1,-8994.893593,418.1650367,40.76922141,20.10200824,-35.46884096,-16386.83608,45.23466836,845.9846547,NaN,NaN,25381.72965,-463.3997051,40.60105056,-36.83572579,-17.07555599
